Source,Target,Weight
Joey,Monica,752
Joey,Chandler,1040
Joey,Ross,773
Joey,Rachel,711
Joey,Phoebe,713
Joey,Paul,2
Joey,Alan,1
Joey,nurseSizemore,1
Joey,Angela,6
Joey,Bob,2
Joey,actress(Eva),3
Joey,director_1_6,1
Joey,Paolo,2
Joey,Jack,8
Joey,obsessionGirl,1
Joey,Sandy_date,2
Joey,funBobby,2
Joey,kids,1
Joey,NoraBing,2
Joey,MrTribbiani,6
Joey,Ronni,3
Joey,Roger,1
Joey,GloriaTribbiani,2
Joey,Lorraine,3
Joey,Janice,14
Joey,Ursula,1
Joey,PhoebeAsUrsula,1
Joey,Samantha,1
Joey,SamanthasRoomate,1
Joey,Mindy,1
Joey,Sydney,1
Joey,Danielle,1
Joey,Marcel,3
Joey,director_1_21,1
Joey,Lydia,7
Joey,Lydiasmother,1
Joey,nurse,3
Joey,Carol,5
Joey,Ben,8
Joey,Melanie,3
Joey,Julie,5
Joey,Annabel,3
Joey,hombreMan,2
Joey,Susan,1
Joey,MrHeckles,1
Joey,MrTreeger,8
Joey,waiter_2_5,2
Joey,Jade,1
Joey,woman_2_6,1
Joey,girl1InBus,1
Joey,girl2InBus,1
Joey,transitOff.Guy,2
Joey,Estelle,8
Joey,SandraGreen,2
Joey,MrAdelman,1
Joey,partyGuest,1
Joey,Erika,5
Joey,Erica,5
Joey,securityGuard,2
Joey,director_2_13,1
Joey,Cathy,1
Joey,vanDamme,1
Joey,apartmentGuy,1
Joey,Eddie,3
Joey,messenger,1
Joey,Gunther,22
Joey,castingDir_2_19,1
Joey,Richard,4
Joey,MrsBuffay,1
Joey,LeonardGreen,3
Joey,ScottAlexander,1
Joey,Jeannie,1
Joey,MrDouglas,1
Joey,Mike(addGuy),2
Joey,FrankJr,3
Joey,students_3_7,2
Joey,Cal,2
Joey,Jester,1
Joey,uglyNakedGuy,1
Joey,Margha,2
Joey,MaryTherese,1
Joey,Cookie,2
Joey,Gina,1
Joey,Dina,4
Joey,MaryAngela,1
Joey,Tina,1
Joey,Veronica,1
Joey,director_3_12,3
Joey,Robert,2
Joey,Leslie,1
Joey,Ginger,1
Joey,Chloe,2
Joey,Pete,2
Joey,Kate,11
Joey,director_3_19,2
Joey,Lauren,6
Joey,director_3_20,2
Joey,chick,6
Joey,duck,8
Joey,director_3_22,3
Joey,GuruSaj,1
Joey,Tim,2
Joey,Tomas,1
Joey,Bonnie,3
Joey,Tony,1
Joey,Peter,1
Joey,thief,1
Joey,salesman,3
Joey,Kathy,7
Joey,Casey,1
Joey,DrTimothyBurke,1
Joey,waiter,1
Joey,smartKid,1
Joey,Rhonda,2
Joey,director_4_14,1
Joey,C.Heston,2
Joey,Emily,8
Joey,singingGuy,1
Joey,stripper,2
Joey,doctor(vet),1
Joey,vendor,1
Joey,SarahFerguson,1
Joey,waiter_4_24,1
Joey,Felicity,2
Joey,AndreaWaltham,1
Joey,registrar,1
Joey,Joey'sDoctor,4
Joey,stageManager,2
Joey,PBSvolunteer,1
Joey,GaryCollins,1
Joey,Cynthia,1
Joey,Danny,2
Joey,RevBong,1
Joey,castingDir_5_13,1
Joey,Katie,3
Joey,Gary,7
Joey,Jen,1
Joey,oldMan,1
