Id,Label,Community,Degree,WeightedPageRank,Betweenness
Joey,Joey,1,268,0.12331855146199833,0.32379836219121677
Ross,Ross,1,243,0.12284517412226521,0.27184169810809955
Chandler,Chandler,1,237,0.1255327738101539,0.23123342545109143
Rachel,Rachel,1,228,0.11638345822547072,0.2382209768317997
Monica,Monica,1,207,0.1222910606637565,0.18315050021357984
Phoebe,Phoebe,1,206,0.10987221955890089,0.19072961731746438
Judy,Judy,1,19,0.004415374670319073,0.0026410970522803435
Gunther,Gunther,1,18,0.0027934254216336316,0.0033228940462148603
Jack,Jack,1,17,0.004259052226074273,0.0016209796302631763
Mike,Mike,1,17,0.004762058744563413,0.008299276086891962
Emily,Emily,1,16,0.002126847975467876,0.0023865759097856875
FrankJr,FrankJr,1,15,0.0023866166652869013,0.005514858234222674
Richard,Richard,1,13,0.0024027985976293902,0.006393507655495538
Carol,Carol,1,12,0.0024795149375780494,0.00178228237866218
Charlie,Charlie,1,12,0.0022648300421157616,0.004623931785707346
registrar,registrar,1,12,0.0005760375690583957,0.0011625800604951788
NoraBing,NoraBing,1,11,0.001116878564970463,0.0032614038753268786
Ben,Ben,1,11,0.0025963069756306367,0.0018062912530947823
Joshua,Joshua,1,11,0.0012592264856129626,0.0059406729074085165
Emma,Emma,1,11,0.0021413465493055053,0.0007745096151244901
LeonardGreen,LeonardGreen,1,9,0.001288171824545388,0.0029737660224192436
Susan,Susan,1,9,0.0016785340525414952,0.00042110235958410476
Janice,Janice,1,9,0.0027365854599186194,0.0035561958798189393
Pete,Pete,1,9,0.0012175545108514107,0.00577397981521995
duck,duck,1,9,0.0009810537833836632,0.0004280371484478074
AndreaWaltham,AndreaWaltham,1,9,0.0006781036167440849,0.0001791749976704716
Amy,Amy,1,9,0.0014147673813581971,0.0026814792347296793
Elizabeth,Elizabeth,1,9,0.0012517858185025251,0.001694248357796227
Marcel,Marcel,1,8,0.0010310765541118034,0.0009701695405313788
MrTribbiani,MrTribbiani,1,8,0.00056864728141727,9.457265405730218e-05
babyJack,babyJack,1,8,0.0006964461274317878,0.003052435036799074
MrHeckles,MrHeckles,1,7,0.0005998127500096492,0.0003965417400831352
David,David,1,7,0.0009745729688597023,0.0007444255088964209
Roger,Roger,1,7,0.0005758869088769842,0.0
nurse,nurse,1,7,0.0004559353909030201,0.0006818412248716199
Julie,Julie,1,7,0.0012947071724767327,0.00010158935793640857
MrTreeger,MrTreeger,1,7,0.000802057237092354,0.00045778329564788466
Erica,Erica,1,7,0.0011827974385285804,0.0006262921772934906
chick,chick,1,7,0.0007650008783062773,0.0002587094788005237
Tommy,Tommy,1,7,0.0006783895447239391,0.0027219960759061984
Tim,Tim,1,7,0.0005408985383989105,0.0
Tomas,Tomas,1,7,0.00038275828811157976,0.0
Kathy,Kathy,1,7,0.0009623072281558748,0.002680965147453083
Danny,Danny,1,7,0.0008743633034189215,0.0008611818695126529
PaulStevens,PaulStevens,1,7,0.0011722322730116118,0.0
Tag,Tag,1,7,0.0014899427994168833,0.00015978863627171414
HelenaHandbasket,HelenaHandbasket,1,7,0.0007543659533747943,0.002680965147453083
Mona,Mona,1,7,0.0012154969143272985,0.0011991342770262092
interviewer,interviewer,1,7,0.0007309982413104865,0.0
Gavin,Gavin,1,7,0.0007566089572475705,0.00044205595128850544
Paul,Paul,1,6,0.0004800854176810484,0.0
Alan,Alan,1,6,0.0003513138439794248,0.0
Paolo,Paolo,1,6,0.0008460171470890666,0.0
Danielle,Danielle,1,6,0.00039469903240666826,0.0
SandraGreen,SandraGreen,1,6,0.0012085280167398137,0.0
waiter_2_5,waiter_2_5,1,6,0.00043874163197787886,0.0
Erika,Erika,1,6,0.000540059943526428,3.917202245647461e-05
Eddie,Eddie,1,6,0.000739162019060625,0.0006806219552499465
Robert,Robert,1,6,0.00043908262738719285,0.0
Alice,Alice,1,6,0.0008774500511757782,0.0
director_3_22,director_3_22,1,6,0.0004739110517923469,0.000613513703191085
Bonnie,Bonnie,1,6,0.0008297966838193121,0.0
StevenWaltham,StevenWaltham,1,6,0.0006772665820446176,0.0
RevBong,RevBong,1,6,0.00033047622384207455,0.0
Gary,Gary,1,6,0.0010843539731121175,0.0
Jill,Jill,1,6,0.0008073625366115085,0.0
Will,Will,1,6,0.0005686452220511588,0.0
waiter_s8&s9,waiter_s8&s9,1,6,0.0008530337001960401,0.005542297765969435
Parker,Parker,1,6,0.0005239175910841747,0.0
Molly,Molly,1,6,0.0006057123677048127,0.00050202698681386
babyErica,babyErica,1,6,0.00039412904968915395,0.0
funBobby,funBobby,1,5,0.0004991704301137603,0.0
Ronni,Ronni,1,5,0.000439861773781831,0.0
waiter,waiter,1,5,0.0003205942267204944,0.0
firemanDave,firemanDave,1,5,0.00043670327543755935,0.0
firemanCharlie,firemanCharlie,1,5,0.000382596230683214,0.0
firemanEd,firemanEd,1,5,0.000382596230683214,0.0
DrMitchel,DrMitchel,1,5,0.0004955150695779538,0.00011711622170984896
LuisaGianetti,LuisaGianetti,1,5,0.0004395571564722773,0.0
Lydia,Lydia,1,5,0.0007606434378346926,0.0029016799515386984
Russ,Russ,1,5,0.00045987502848061055,0.0
Estelle,Estelle,1,5,0.0006560071276771692,0.0026809651474530836
securityGuard,securityGuard,1,5,0.0004291872255774154,0.0005757255952527946
Kate,Kate,1,5,0.0008899825348725274,1.0196064319172798e-05
Joanna,Joanna,1,5,0.000928379820422291,0.00041421725499671383
DrTimothyBurke,DrTimothyBurke,1,5,0.00039193616286069244,0.0
doctor_5_8,doctor_5_8,1,5,0.000407870749571333,0.0003403814698954781
MrZelner,MrZelner,1,5,0.0005044514908354895,7.486901264902944e-05
grandmaTribbiani,grandmaTribbiani,1,5,0.0004635293070348684,0.0
Janine,Janine,1,5,0.0011215748365398523,0.0
fireman1,fireman1,1,5,0.00030858568231129145,0.0
Kyle,Kyle,1,5,0.00037650254892266147,0.00023389828668990897
frontDeskClerk,frontDeskClerk,1,5,0.0003294233024486417,0.0
DrOberman,DrOberman,1,4,0.0003091689664777071,0.0
Tony,Tony,1,4,0.00028800042176724863,0.0
auntLillian,auntLillian,1,4,0.0003687453715998097,0.0
Kristen,Kristen,1,4,0.00039866855635997786,0.0
Steve,Steve,1,4,0.0004728465968641054,0.00032451603551159107
Ursula,Ursula,1,4,0.0005050799424783213,0.0001051912143730703
teacher,teacher,1,4,0.00037765695147920616,8.317646531296083e-05
